Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode
2023-01-15,1:27,361,Saint-Denis,South,31-010,St-Denis / Laurier,St-Denis / Roy,1:34,to 360,T,
2023-01-15,1:43,360,Av. des Pins,West,40-234,des Pins / Drolet,des Pins / Côte-des-Neiges,1:53,from 361,T,
2023-01-16,14:21,24,Sherbrooke,East,31-186,Sherbrooke / Côte-des-Neiges,Université McGill,14:26,,F,
2023-01-18,11:44,24,Sherbrooke,West,31-162,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,11:50,Bike rack!,F,
2023-01-19,9:21,24,Sherbrooke,East,26-035,Sherbrooke / Côte-des-Neiges,Rachel / Montgomery,9:52,Old Boi,F,
2023-01-19,11:08,24,Sherbrooke,West,31-047,Sherbrooke / Hogan,Sherbrooke / Côte-des-Neiges,11:40,,F,
2023-01-19,12:57,24,Sherbrooke,West,38-020,Sherbrooke / Côte-des-Neiges,Université McGill,13:02,,F,
2023-01-19,18:39,144,Av. des Pins,East,31-207,Dr-Penfield / Côte-des-Neiges,des Pins / Saint-Laurent,18:49,,F,
2023-01-19,23:35,144,Av. des Pins,West,31-201,des Pins / Saint-Urbain,des Pins / Côte-des-Neiges,23:42,,F,
2023-01-21,20:04,165,Côte-des-Neiges,North,33-816,Côte-des-Neiges / Summerhill,Station Côte-des-Neiges,20:17,,F,
2023-01-21,23:09,55,Saint-Laurent,South,29-026,Station de Castelnau,Saint-Urbain / Rachel,23:24,,F,
2023-01-22,0:02,144,Av. des Pins,West,31-044,des Pins / Parc,des Pins / Côte-des-Neiges,0:07,,F,
2023-01-23,9:44,24,Sherbrooke,East,31-169,Sherbrooke / Côte-des-Neiges,Université McGill,9:50,,F,
2023-01-23,11:33,24,Sherbrooke,West,38-013,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,11:38,,F,
2023-01-23,18:00,24,Sherbrooke,East,38-034,Sherbrooke / Robert-Bourassa ,Cherrier / Du Parc-La-Fontaine,18:14,,F,
2023-01-24,15:58,1,Green Line,West,10-499,Station McGill,Station Guy-Concordia,16:00,Start of metro accounting,F,** Note on metro accounting
2023-01-25,11:36,24,Sherbrooke,West,39-036,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,11:40,,F,"Line number by historical (1 = Green, 2 = Orange, 4 = Yellow, 5 = Blue)"
2023-01-28,17:20,144,Av. des Pins,West.,29-024,des Pins / Parc,des Pins / Côte-des-Neiges,17:25,,F,Time boarded same as bus
2023-01-28,21:03,1,Green Line,East,10-534,Station Guy-Concordia,Station St-Laurent,21:10,to 55,T,Car number boarded / ridden at used for ID
2023-01-28,21:16,55,St-Laurent,North,32-010,Station St-Laurent,St-Laurent / Rachel,21:30,from 1,T,
2023-01-29,2:37,144,Av. des Pis,West,29-132,des Pins / Parc,des Pins / Côte-des-Neiges,2:41,,F,
2023-01-29,12:57,24,Sherbrooke,East,38-030,Sherbrooke / Côte-des-Neiges,Sherbrooke / St-Laurent,13:10,,F,
2023-01-29,14:31,24,Sherbrooke,West,38-032,Sherbrooke / l'Hôtel-de-Ville,Sherbrooke / Côte-des-Neiges,,,F,
2023-01-29,21:30,144,Av. des Pins,East,32-013,Dr-Penfield / Côte-des-Neiges,des Pins / St-Urbain,21:36,,F,
2023-01-30,11:33,144,Av. des Pins,West,29-071,des Pins / Parc,des Pins / Côte-des-Neiges,11:41,,F,
2023-01-31,15:27,24,Sherbrooke,West,31-060,Sherbrooke / Robert-Bourassa,Sherbrooke / Côte-des-Neiges,15:36,,F,
2023-01-31,23:37,1,Green Line,West,10-561,Station McGill,Station Guy-Concordia,23:40,,F,
2023-02-01,11:54,24,Sherbrooke,West,31-042,Sherbrooke / Peel,Sherbrooke / Côte-des-Neiges,11:56,,F,
2023-02-02,15:57,24,Sherbrooke,West,26-029,Sherbrooke / Mansfield ,Sherbrooke / Côte-des-Neiges,16:03,,F,
2023-02-02,16:47,24,Sherbrooke,East,31-070,Sherbrooke / Côte-des-Neiges,Sherbrooke / Peel,16:52,,F,
2023-02-03,15:41,24,Sherbrooke,West,31-232,Sherbrooke / Mansfield ,Sherbrooke / de la Montagne,15:43,Cold advisory,F,
2023-02-04,11:23,144,Av. Des Pins,East,28-045,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Peel,11:26,Cold advisory,F,
2023-02-04,17:51,1,Green Line,West,79-582,Station St-Laurent,Station Guy-Concordia,17:56,w/ bike,F,
2023-02-06,9:45,24,Sherbrooke,East,31-064,Sherbrooke / Côte-des-Neiges,Université McGill,9:50,,F,
2023-02-06,20:09,24,Sherbrooke,West,39-039,Sherbrooke / Alymer,Sherbrooke / Côte-des-Neiges,20:16,,F,
2023-02-07,16:04,24,Sherbrooke,West,30-061,Sherbrooke / University,Sherbrooke / Côte-des-Neiges,16:11,,F,
2023-02-07,20:05,144,Av. des Pins,East,29-017,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Peel,20:08,,F,
2023-02-07,23:17,24,Sherbrooke,West,38-024,Sherbrooke / Aylmer,Sherbrooke / Côte-des-Neiges,23:22,,F,
2023-02-08,11:36,24,Sherbrooke,East,39-017,Sherbrooke / Côte-des-Neiges,Université McGill,11:43,,F,
